Fecha,Area_Sanitaria,Personas_Infectadas 
2020-05-15,"A.S. VIGO","1"
2020-05-15,"GALICIA","12"
2020-05-16,"A.S. SANTIAGO E BARBANZA","1"
2020-05-16,"A.S. VIGO","3"
2020-05-16,"GALICIA","4"
2020-05-17,"A.S. A CORUÑA E CEE","2"
2020-05-17,"GALICIA","2"
2020-05-18,"A.S. A CORUÑA E CEE","2"
2020-05-18,"A.S. SANTIAGO E BARBANZA","1"
2020-05-18,"GALICIA","3"
2020-05-19,"A.S. A CORUÑA E CEE","4"
2020-05-19,"A.S. FERROL","2"
2020-05-19,"A.S. OURENSE, VERÍN E O BARCO","6"
2020-05-19,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-05-19,"A.S. VIGO","1"
2020-05-19,"GALICIA","14"
2020-05-20,"A.S. A CORUÑA E CEE","7"
2020-05-20,"A.S. FERROL","1"
2020-05-20,"A.S. SANTIAGO E BARBANZA","1"
2020-05-20,"GALICIA","9"
2020-05-21,"A.S. A CORUÑA E CEE","2"
2020-05-21,"A.S. FERROL","1"
2020-05-21,"A.S. OURENSE, VERÍN E O BARCO","1"
2020-05-21,"GALICIA","4"
2020-05-22,"A.S. A CORUÑA E CEE","13"
2020-05-22,"A.S. LUGO, A MARIÑA E MONFORTE","2"
2020-05-22,"A.S. OURENSE, VERÍN E O BARCO","2"
2020-05-22,"GALICIA","17"
2020-05-23,"A.S. A CORUÑA E CEE","3"
2020-05-23,"A.S. OURENSE, VERÍN E O BARCO","6"
2020-05-23,"A.S. SANTIAGO E BARBANZA","1"
2020-05-23,"GALICIA","10"
2020-05-24,"A.S. A CORUÑA E CEE","1"
2020-05-24,"A.S. SANTIAGO E BARBANZA","1"
2020-05-24,"GALICIA","2"
2020-05-25,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-05-25,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-05-25,"GALICIA","2"
2020-05-26,"A.S. A CORUÑA E CEE","5"
2020-05-26,"GALICIA","5"
