Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-11 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.022","19","208","12.593","2","2","252.325","134.441","216","40.770"
2021-06-11 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.824","12","149","15.258","6","0","260.802","130.477","418","72.016"
2021-06-11 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.360","4","148","14.031","6","2","242.593","91.910","181","81.081"
2021-06-11 18:00:00,"A.S. SANTIAGO E BARBANZA","20.083","4","182","19.548","6","3","366.539","144.740","365","95.554"
2021-06-11 18:00:00,"A.S. VIGO","25.230","10","352","24.447","8","3","516.832","267.074","439","68.469"
2021-06-11 18:00:00,"GALICIA","127.847","75","1.517","123.925","52","16","2.301.277","980.708","2.430","556.154"
2021-06-12 18:00:00,"A.S. A CORUÑA E CEE","30.667","22","372","29.716","18","3","515.274","151.034","594","182.956"
2021-06-12 18:00:00,"A.S. FERROL","8.685","5","97","8.365","5","3","148.494","61.137","217","15.621"
2021-06-12 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.038","17","216","12.601","0","0","252.711","134.467","216","40.869"
2021-06-12 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.834","9","142","15.275","4","1","261.460","130.496","418","72.204"
2021-06-12 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.364","4","132","14.051","6","2","242.908","91.956","181","81.398"
2021-06-12 18:00:00,"A.S. SANTIAGO E BARBANZA","20.088","5","169","19.566","7","2","367.084","144.787","365","95.824"
2021-06-12 18:00:00,"A.S. VIGO","25.250","21","334","24.485","10","3","517.363","267.283","439","68.681"
2021-06-12 18:00:00,"GALICIA","127.926","83","1.462","124.059","50","14","2.305.294","981.160","2.430","557.553"
2021-06-13 18:00:00,"A.S. A CORUÑA E CEE","30.701","34","380","29.742","20","4","516.144","151.035","594","183.205"
2021-06-13 18:00:00,"A.S. FERROL","8.685","0","89","8.373","6","3","148.623","61.137","217","15.652"
2021-06-13 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.042","4","199","12.622","4","2","253.105","134.467","216","40.949"
2021-06-13 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.843","9","145","15.281","3","1","261.904","130.496","418","72.466"
2021-06-13 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.366","2","127","14.058","5","2","243.603","91.956","181","81.745"
2021-06-13 18:00:00,"A.S. SANTIAGO E BARBANZA","20.093","5","156","19.584","5","2","367.437","144.787","365","96.064"
2021-06-13 18:00:00,"A.S. VIGO","25.252","2","305","24.516","8","4","517.672","267.283","439","68.861"
2021-06-13 18:00:00,"GALICIA","127.982","56","1.401","124.176","51","18","2.308.488","981.161","2.430","558.942"
2021-06-14 18:00:00,"A.S. A CORUÑA E CEE","30.719","18","384","29.756","22","4","517.059","151.054","594","183.492"
2021-06-14 18:00:00,"A.S. FERROL","8.691","5","92","8.376","6","2","148.785","61.141","217","15.701"
2021-06-14 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.045","7","188","12.636","4","1","253.528","134.473","216","41.270"
2021-06-14 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.855","11","149","15.289","3","1","262.087","130.500","418","72.876"
2021-06-14 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.376","9","128","14.067","6","2","243.869","91.967","181","82.093"
2021-06-14 18:00:00,"A.S. SANTIAGO E BARBANZA","20.098","3","146","19.599","5","1","367.810","144.806","365","96.468"
2021-06-14 18:00:00,"A.S. VIGO","25.258","7","292","24.535","6","4","518.001","267.285","439","69.174"
2021-06-14 18:00:00,"GALICIA","128.042","60","1.379","124.258","52","15","2.311.139","981.226","2.430","561.074"
2021-06-15 18:00:00,"A.S. A CORUÑA E CEE","30.750","30","401","29.770","19","5","518.243","151.129","594","183.843"
2021-06-15 18:00:00,"A.S. FERROL","8.697","5","93","8.381","4","3","148.999","61.152","217","15.760"
2021-06-15 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.050","7","175","12.654","4","1","253.912","134.497","216","41.455"
2021-06-15 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.861","6","145","15.299","3","1","262.557","130.596","418","73.240"
2021-06-15 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.382","4","124","14.077","6","2","244.114","92.025","181","82.413"
2021-06-15 18:00:00,"A.S. SANTIAGO E BARBANZA","20.101","4","134","19.614","4","1","368.432","144.857","365","96.854"
2021-06-15 18:00:00,"A.S. VIGO","25.266","9","274","24.561","7","2","518.544","267.397","439","69.429"
2021-06-15 18:00:00,"GALICIA","128.107","65","1.346","124.356","47","15","2.314.801","981.653","2.430","562.994"
2021-06-16 18:00:00,"A.S. A CORUÑA E CEE","30.785","38","410","29.796","18","7","519.617","151.262","594","184.253"
2021-06-16 18:00:00,"A.S. FERROL","8.705","8","96","8.386","4","3","149.202","61.179","217","15.818"
